rank,method_id,selection_metric,selection_score,fit_time_sec,n_trials_completed,status,error,error_type,params,validation_uno_c,validation_harrell_c,validation_ibs,validation_td_auc_25,validation_td_auc_50,validation_td_auc_75,validation_primary_metric,test_uno_c,test_harrell_c,test_ibs,test_td_auc_25,test_td_auc_50,test_td_auc_75
1,deepsurv,harrell_c,0.5321633418401083,26.723380041999917,8,success,,,"{'hidden_layers': '128', 'activation': 'gelu', 'dropout': 0.16160146601037761, 'batch_norm': False, 'optimizer': 'adam', 'lr': 0.004316871138429612, 'weight_decay': 1.815145649657757e-06, 'batch_size': 64, 'max_epochs': 107, 'patience': 28, 'device': 'auto'}",0.5364269614219666,0.5321633418401083,0.15590046842892966,0.5394497712453207,0.5881662567456564,0.603082557519277,0.5321633418401083,0.5338994264602661,0.545304000377655,0.16663852334022522,0.6056708097457886,0.6216551065444946,0.47854065895080566
2,rsf,harrell_c,0.5267876386642456,7.312793375000183,8,success,,,"{'n_estimators': 158, 'max_depth': 25, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5221461554368337,0.5267876386642456,0.16258097191651663,0.5181919932365417,0.5477217435836792,0.5035903652509054,0.5267876386642456,0.5322563052177429,0.5346581339836121,0.16071532666683197,0.5948415994644165,0.5583916306495667,0.5210495591163635
3,coxnet,harrell_c,0.5138656993707021,0.278356958000586,8,success,,,"{'alpha': 0.00017670169402947956, 'l1_ratio': 0.9531785910894203}",0.5249788165092468,0.5138656993707021,0.15882861614227295,0.49508993824323017,0.5561554630597433,0.5680094460646311,0.5138656993707021,0.5234975814819336,0.5391530394554138,0.16102032363414764,0.5603816509246826,0.5786088109016418,0.46436887979507446
4,coxph,harrell_c,0.5138611396153768,0.6903034999995725,8,success,,,{'alpha': 0.5061576888752303},0.5249606966972351,0.5138611396153768,0.15882210433483124,0.4950225055217743,0.556023895740509,0.5683618585268656,0.5138611396153768,0.5245205760002136,0.5400993824005127,0.16099578142166138,0.5603816509246826,0.5792182087898254,0.46436887979507446
